Year,URN,Rationalised_School_Type,Yr_Group,Pupils,Actual/Projection/Historic,Phase
202526,104074,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,104169,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,104787,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,104869,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,104997,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,105048,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,105070,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,105079,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,105088,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,105172,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,109513,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,109610,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,109619,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,110260,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,110276,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,111150,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,112197,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,112314,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,112660,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,113095,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,113162,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,113174,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,114414,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,118159,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,119206,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,119371,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,121606,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,122012,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,123474,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,123485,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,123559,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,123747,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,125021,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,125153,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,131443,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,131480,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,132076,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,132789,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,133701,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,134076,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,134598,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,136487,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,136957,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,137030,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,137529,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,137992,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,138559,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,138976,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,139584,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,140183,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,140339,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,140658,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,140673,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,140766,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,140837,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,141192,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,141695,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,141867,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,142182,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,142514,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,142639,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,142942,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,143006,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,143256,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,143332,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,143836,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,144472,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,144630,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,144697,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,144862,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,144998,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,145305,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,145429,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,145651,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,145655,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,145721,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,145796,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,146022,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,146747,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,147024,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,147865,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,148629,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,148858,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,148870,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,148879,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,148956,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,149096,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,149114,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,149192,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,149326,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,149541,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,149661,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,150147,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,150371,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,150636,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,150638,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,150687,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,151127,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,151367,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202526,151459,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,100021,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,100225,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,100241,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,100266,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,100430,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,100572,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,102087,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,102565,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,104074,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,104169,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,104787,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,104997,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,105048,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,105070,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,105088,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,107501,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,108492,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,108769,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,109610,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,110260,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,110276,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,111150,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,112210,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,112314,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,112660,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,113095,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,113174,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,113377,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,114004,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,114414,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,118159,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,119206,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,119371,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,120988,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,122002,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,122012,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,122671,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,123385,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,123474,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,123485,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,123747,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,125153,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,131021,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,131271,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,131443,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,132076,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,133701,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,134076,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,134598,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,136487,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,136957,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,137030,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,137183,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,137365,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,137529,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,137776,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,137963,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,138976,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,140183,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,140658,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,140673,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,140766,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,140837,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,141496,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,141695,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,141867,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,142182,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,142514,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,142582,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,142639,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,142942,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,143187,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,143332,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,143836,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,144302,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,144472,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,144835,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,144862,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,144998,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,145305,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,145397,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,145429,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,145655,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,145674,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,145721,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,145796,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,146022,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,146447,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,147024,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,147625,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,147890,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,148629,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,148870,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,148879,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,148969,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,149192,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,149537,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,150147,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,150371,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,150398,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,150638,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,150687,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
202728,151367,02 - Mainstream - Primary,N 1,6.0,Projections,Early Years
201920,100223,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,100225,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,100261,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,100266,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,100403,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,100444,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,103945,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,104304,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,104886,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,105069,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,105070,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,105086,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,105791,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,107891,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,108340,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,108758,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,109451,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,109458,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,109504,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,109527,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,110248,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,110450,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,110762,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,111618,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,111632,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,111668,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,112129,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,113095,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,114091,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,114147,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,114198,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,115311,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,116390,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,116701,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,116702,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,116746,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,117419,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,117726,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,117997,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,118359,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,118754,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,119344,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,119608,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,122172,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,122258,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,122266,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,123447,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,126253,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,130296,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,130336,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,131125,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,135009,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,135067,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,135076,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,135779,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,135841,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,136068,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,136487,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,136539,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,136804,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,137212,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,137290,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,137292,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,138415,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,138452,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,138541,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,138591,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,138626,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,139804,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,139890,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,140513,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,140540,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,140788,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,141020,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,141115,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,141289,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,141961,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,142412,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,142415,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,142582,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,142937,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,142942,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,142969,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,142993,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,143006,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,143064,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,143183,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,143584,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,143836,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,143850,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,143909,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,144219,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,144647,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,144681,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,145426,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,145665,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,145667,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,145912,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146096,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146417,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146535,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146693,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146719,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146747,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146913,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146924,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,146975,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,147108,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,147396,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,147625,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,147729,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,147765,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,148227,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,149008,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,149484,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,149505,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,149513,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,149547,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,149838,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,150021,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,150078,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,150324,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,150435,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,150554,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,150955,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
201920,151021,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,100261,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,100498,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,101278,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,102579,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,102742,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,104179,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,104479,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,104649,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,104934,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,104996,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,105005,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,105090,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,105172,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,105667,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,105791,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,107057,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,108269,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,108358,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,108361,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,108803,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,109480,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,109504,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,109507,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,110217,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,110359,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,111298,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,111618,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,112885,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,113155,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,114113,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,116031,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,116386,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,116390,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,117997,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,118182,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,118585,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,118864,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,119298,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,119586,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,119588,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,121606,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,122179,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,123406,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,123467,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,123518,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,125088,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,131271,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,131281,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,131325,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,133676,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,134273,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,134371,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,135016,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,135790,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,136351,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,136487,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,136601,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
202223,136619,02 - Mainstream - Primary,N 1,6.0,Historic,Early Years
